Question|Multiple Choice Answer 1|Multiple Choice Answer 2|Multiple Choice Answer 3|Multiple Choice Answer 4|Correct|Explanation
Which of these waste is biodegradable?|Artificial Rubber|E-Waste|Tetra Packs|Cotton Clothes|4|Cotton clothes are biodegradable while artificial rubber, e-waste, and tetra packs are non-biodegradable.
Which of these waste is biodegradable?|Carbon Paper|Fibers|Dead Organic Matter|Razors|3|Dead organic matter is biodegradable while carbon paper, fibers, and razors are non-biodegradable.
Which of these are not one of the 3 R's?|Reuse|Readjust|Recycle|Reduce|2|The three R's for protecting the environment are Reduce, Reuse Recycle.
Approximately how many tonnes of waste does the world dump each year?|1 billion|2 billion|5 billion|10 billion|2|Every year, the world is dumping approximately 2 billion tonnes of waste.
How many tonnes of food waste does the world produce each year?|0.3 billion|0.57 billion|1.1 billion|1.3 billion|4|Every year, the world is producing approximately 1.3 billion tonnes of food waste.
What is the average daily waste per person?|0.21kg|0.74kg|1.54kg|4.91kg|2|The average daily waste per person is approximately 0.74kg.
What percent of e-waste is recycled globally?|5%|20%|40%|50%|2|Only 20% of all e-waste is recycled globally.
Which means of disposal is the most environment-friendly?|Burning|Dumping in the Ocean|Landfill|Recycling|4|Recycling is the most environment-friendly disposal method.
What day is Earth Day?|February 13|April 22|July 7|November 19|2|Senator Gaylord Nelson made Earth Day to raise awareness about being environment-friendly, and its date is on April 22.
How many trees are saved from recycling one ton of paper?|1|10|17|49|3|Approximately 17 trees are saved for every 1 ton of paper recycled.
Approximately how many liters of water are saved from recycling one ton of paper?|1000|7500|13500|26500|4|Approximately 26497 liters of water are saved for every 1 ton of paper recycled.
What percent of plastic is recycled?|9%|17%|26%|59%|1|Only 9% of plastic is recycled.
What percent of global land area is forest?|13%|31%|47%|63%|2|31% of global land area is covered by forests.
How much has total fish consumption increased from 1990 to 2018?|33%|83%|122%|157%|3|Total fish consumption increased by 122% from 1990 to 2018.
How many people rely on fish as a key source of food?|1.2 billion|2.1 billion|3.3 billion|4.7 billion|3|3.3 billion people worldwide depend on fish as a key source of diet.
How many indigenous people live in or rely on tropical rainforests?|30 thousand|1 million|30 million|50 million|4|Approximately 50 million indigenous people live in or depend on tropical rainforests.
Which of these materials can be disposed of in a recycling bin or cart?|Batteries|Bug Killer|Paint|None of the above|4|Batteries, bug killer, and paint cannot be disposed of in the recycling bin or cart.
How long does it take for plastic to decompose?|30 years|100 years|250 years|450 years|4|It takes around 450 years for plastic to decompose, which is why you should recycle it.
What percent of all aluminum ever used to make cans is still in use today?|95%|70%|30%|5%|2|Around 70 percent of aluminum used to make cans is still in use today.
Which country recycles the most?|Germany|South Korea|Wales|Austria|1|Germany has the highest recycling rate with a recycling rate of 56.1%, followed by Austria's 53.8%, South Korea's 53.7%, and Wales's 52.2%.
Which country produces the most plastic waste?|China|Brazil|United States|India|3|The United States produces the most plastic waste, followed by India, China, and Brazil.
Which country releases the most plastic waste into the ocean?|China|Malaysia|Philippines|India|3|Phillipines releases approximately 356 thousand tons of plastic into the ocean, followed by India's 126 thousand tons, Malaysia's 73 thousand tons, and China's 71 thousand tons.
Which country has the most renewable energy capcity installed?|Brazil|United States|China|India|3|China has installed 1020 gigawatts of renewable energy capcity, followed by the United States's 325, Brazil's 160, and India's 147.
Approximately how many endangered species go extinct each year?|100|350|1000|2000|4|Approximately 2000 endangered species become extinct each year, and humans are a great cause of this happening.
"How many species are listed as ""Threatened""."|20000|40000|60000|80000|2|"The IUCN Red List lists 40000 species as ""Threatened"" species."
Which of the following is not a strategy for increasing Earth's sustainability?|Recycling|Crop Rotation|Increasing Size of Industrial Farms|Designating Land as Wilderness|3|While recycling, crop rotation, and designating land as wilderness is helpful for earth's sustainability, increasing the size of industrial farms is not.
Which of the following is true of the carbon captured by plants?|The carbon become nutrients in the soil|The carbon is buried along with the tree when it dies|The carbon gets released back into the atmosphere after death|The carbon reacts with small minerals within the soil and rock forming new mineral compounds|3|The carbon captured by plants gets released back into the atmosphere after death.
Which of the following is a carbon sink?|Grasslands|Swamps|Temperate Coastal Waters|All of the above|4|Grasslands, swamps, and temperate coastal waters are all examples of carbon sinks.
Which of these organisms biologically absorb carbon?|Cyanobacteria|Ornithovirus|Slime mold|Tardigrade|1|Cyanobacteria have the biological ability to absorb carbon.
Coal and oil were largely created from carbon captured by plants. Why do the carbon captured today not end up creating more coal?|Plants have become too weak|There is too much carbon dioxide in the air now|Plants lost the ability to store carbon through evolution|Life has found a way to decompose the tough polysaccharide cell walls of plants|4|Carbon captured today does not create more coal because decomposers can now decompose the tough polysaccharide cell walls of plants.
Which of these kingdoms are responsible for the decomposition of plant matter and prevents carbon from being stored long term?|Animalia|Fungi|Plantae|Protista|2|Fungi are responsible for the decomposition of plant matter and prevents carbon from being stored long term?
How much have average sea levels swelled since 1880?|4cm|11cm|16cm|23cm|4| Average sea levels have swelled about 23cm since 1880.
How much have average sea levels swelled in the last 25 years?|3cm|8cm|13cm|15cm|2| Average sea levels have swelled about 8cm in the last 25 years.
How much the average sea level rise each year?|0.2cm|0.32cm|0.43cm|0.54cm|2|Average sea levels rise by 0.32cm each year.
How low is the average elevation above sea level of the country with the lowest average elevation above sea level?|0.2m|1.5m|3.2m|4.7m|2|The Maldives has the lowest average elevation above sea level at 1.5m.
By 2050, what is the projected percentage of the Maldives that could become uninhabitable due to global warming?|20%|40%|60%|80%|4|It is projected that 80% of the Maldives could become uninhabitable due to global warming.
